date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:35%20GMT	http://oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV.png_640x640_4cf757f6-274e-4c20-b936-24f840d6ddfd.png?v=1697709067&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV.png_640x640_4cf757f6-274e-4c20-b936-24f840d6ddfdddb4.png	(from https://oklumi.com/products/oklumi-projector)
11:02:35	63551/63551	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2018:38:36%20GMT	https://oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV_png.webp?v=1697709067&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV_pngddb4.jpg	(from https://oklumi.com/products/oklumi-projector)
11:02:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:37%20GMT	http://oklumi.com/cdn/shop/files/Sc41c72e3ed3147249c9dc74bd5e09420n.jpg?v=1697709067&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Sc41c72e3ed3147249c9dc74bd5e09420nddb4.jpg	(from https://oklumi.com/products/oklumi-projector)
11:02:37	114972/114972	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Mar%202024%2018:38:36%20GMT	https://oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV.png_640x640_4cf757f6-274e-4c20-b936-24f840d6ddfd.png?v=1697709067&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Salange-HY300-Android-11-0-Mini-Projector-LED-Beamer-Home-Cinema-200ANSI-720P-WIFI-Smart-TV.png_640x640_4cf757f6-274e-4c20-b936-24f840d6ddfdddb4.png	(from https://oklumi.com/products/oklumi-projector)
11:02:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:39%20GMT	http://oklumi.com/cdn/shop/files/Se1a0291fcda7458d83de7664a005772dp.jpg?v=1697709067&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Se1a0291fcda7458d83de7664a005772dpddb4.jpg	(from https://oklumi.com/products/oklumi-projector)
11:02:39	183032/183032	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2018:38:36%20GMT	https://oklumi.com/cdn/shop/files/Sc41c72e3ed3147249c9dc74bd5e09420n.jpg?v=1697709067&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Sc41c72e3ed3147249c9dc74bd5e09420nddb4.jpg	(from https://oklumi.com/products/oklumi-projector)
11:02:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2030%20Mar%202024%2008:02:41%20GMT	http://oklumi.com/cdn/shop/t/1/assets/product-modal.js?v=116616134454508949461690949778	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/product-modal146a.js	(from https://oklumi.com/products/oklumi-projector)
11:02:41	241689/241689	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20Mar%202024%2018:38:36%20GMT	https://oklumi.com/cdn/shop/files/Se1a0291fcda7458d83de7664a005772dp.jpg?v=1697709067&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/Se1a0291fcda7458d83de7664a005772dpddb4.jpg	(from https://oklumi.com/products/oklumi-projector)
11:02:41	12048626/12048626	---M--	200	added ('OK')	image/gif	date:Wed,%2027%20Mar%202024%2019:48:28%20GMT	https://oklumi.com/cdn/shop/files/OklumiGIf.gif?v=1697708584&width=1445	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/files/OklumiGIf7c26.gif	(from https://oklumi.com/products/oklumi-projector)
11:02:41	1038/1038	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2011%20Mar%202024%2020:36:57%20GMT	https://oklumi.com/cdn/shop/t/1/assets/product-modal.js?v=116616134454508949461690949778	C:/Users/sura/Downloads/mtayms%20clone/oklumi.com/cdn/shop/t/1/assets/product-modal146a.js	(from https://oklumi.com/products/oklumi-projector)
